('20503-优图AI交付架构师(上海）', '技术类', '上海', '2018-08-15')
('SNG11-织云运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG11-组件运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG148-数据抓取工程师（北京）', '技术类', '北京', '2018-08-15')
('21882-医学NLP研究员', '技术类', '深圳', '2018-08-15')
('22989-腾讯云运营系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG03-资深运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('SNG11-织云运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG11-组件运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG148-数据抓取工程师（北京）', '技术类', '北京', '2018-08-15')
('21882-医学NLP研究员', '技术类', '深圳', '2018-08-15')
('22989-腾讯云运营系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG03-资深运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('SNG11-组件运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG148-数据抓取工程师（北京）', '技术类', '北京', '2018-08-15')
('21882-医学NLP研究员', '技术类', '深圳', '2018-08-15')
('22989-腾讯云运营系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG03-资深运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('OMG148-数据抓取工程师（北京）', '技术类', '北京', '2018-08-15')
('21882-医学NLP研究员', '技术类', '深圳', '2018-08-15')
('22989-腾讯云运营系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG03-资深运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('21882-医学NLP研究员', '技术类', '深圳', '2018-08-15')
('22989-腾讯云运营系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG03-资深运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22989-腾讯云运营系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG03-资深运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('MIG03-资深运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('18302-动作类手游资深TA（深圳）', '设计类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据产品经理', '产品/项目类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG02-134 微信数据平台运营工程师(广州）', '技术类', '广州', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('23674-腾讯新闻数据产品经理', '产品/项目类', '北京', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22989-云服务开发工程师（NLP方向）（北京）', '技术类', '北京', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('27092-应用宝商业化后台开发（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('25923-海外游戏技术运营工程师（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('22025-沙盒游戏资深TA技术美术（深圳）', '设计类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('OMG064-广告数据挖掘与算法工程师（上海）', '技术类', '上海', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG06-应用宝后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-数据分析工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG097-数据开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SA-Machine Learning Algorithm Engineer （Shenzhen/Beijing）', '技术类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG097-数据开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('24491-海外市场大数据分析师（深圳）', '产品/项目类', '深圳', '2018-08-15')
('TEG13-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG097-数据开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('24491-海外市场大数据分析师（深圳）', '产品/项目类', '深圳', '2018-08-15')
('GY0-运维开发工程师', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG097-数据开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('24491-海外市场大数据分析师（深圳）', '产品/项目类', '深圳', '2018-08-15')
('GY0-运维开发工程师', '技术类', '深圳', '2018-08-15')
('SNG17-手Q轻游戏平台后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG16-腾讯音乐运营开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG097-数据开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('24491-海外市场大数据分析师（深圳）', '产品/项目类', '深圳', '2018-08-15')
('GY0-运维开发工程师', '技术类', '深圳', '2018-08-15')
('SNG17-手Q轻游戏平台后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-web前端开发工程师', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DC（深圳）', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG097-数据开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('24491-海外市场大数据分析师（深圳）', '产品/项目类', '深圳', '2018-08-15')
('GY0-运维开发工程师', '技术类', '深圳', '2018-08-15')
('SNG17-手Q轻游戏平台后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-web前端开发工程师', '技术类', '深圳', '2018-08-15')
('28603-113 微信支付核心支付开发工程师(深圳)', '技术类', '深圳', '2018-08-15')
('TEG02-高级网络运营工程师DCI（深圳）', '技术类', '深圳', '2018-08-15')
('28603-116 微信支付测试开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('WXG06-113 微信支付后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('OMG097-数据开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('24491-海外市场大数据分析师（深圳）', '产品/项目类', '深圳', '2018-08-15')
('GY0-运维开发工程师', '技术类', '深圳', '2018-08-15')
